genres,original_language,popularity,budget,revenue,runtime,vote_average,vote_count
Comedy,en,53.376,65000,415252.786,145,6.6,1907
Drama,en,53.265,110000,215294.342,165,7.2,3368
Drama,en,53.222,100000,325338.851,91,7.1,4421
Comedy,en,53.13,18000,15345.201,102,5.928,733
Drama,en,52.983,65000,162100,159,7.474,5652
Drama,en,52.646,17000,18867.659,99,6.291,864
Comedy,en,52.475,55000,231449.203,103,6.2,3624
Drama,en,52.456,28000,121616.555,127,8.1,6988
Drama,en,52.334,29000,309208.309,129,7.7,5527
Drama,en,52.255,34000,63013.281,128,7.6,2955
Drama,en,51.94,21000,236412.453,122,7.131,11403
Comedy,en,51.576,109000,133800,81,5.322,1467
Comedy,en,51.504,50000,234989.584,113,6.3,3988
Comedy,en,51.067,7000,5021.219,93,5.3,1556
Comedy,en,50.423,24000,42105.111,102,6.3,2056
Drama,en,50.285,15000,78054.825,100,7.6,11175
Comedy,en,50.257,15000,14860.766,93,6.5,1634
Drama,en,50.135,14000,178043.761,134,7.798,6666
Comedy,en,50.119,35000,155545.279,102,6.594,1802
Comedy,en,49.727,45000,178262.62,83,5.484,2825
Comedy,en,49.64,35000,326551.094,109,7.38,10630
Comedy,en,49.336,23600,102391.54,88,7.262,11642
Comedy,en,49.032,20000,136267.476,102,6.3,4583
Drama,en,48.778,80000,294800,138,8.197,21808
Drama,en,48.685,108000,630161.89,141,7.7,17885
Comedy,en,48.405,12000,24829.644,87,5.4,1465
Comedy,en,48.243,80000,98376.292,101,6.065,2064
Drama,en,48.103,500,33456.317,122,7.6,589
Drama,fr,47.854,6600,5115.725,108,6.5,1067
Comedy,en,47.837,69000,177856.751,116,6.099,7271
Drama,en,47.741,84000,432800,105,7.9,9033
Drama,en,47.67,50000,30000,145,7.731,1997
Comedy,en,47.652,85000,340487.652,107,6.8,5130
Drama,en,47.623,150000,490719.763,140,7.166,8171
Drama,en,47.482,97600,225508.21,153,8.005,6453
Drama,en,46.77,30000,47126.295,113,7.138,1816
Drama,en,46.742,5000,22525.668,108,7.5,282
Drama,en,46.403,42000,119946.358,104,5.8,2720
Comedy,en,46.324,6000,57615.777,95,7.055,3626
Comedy,en,46.161,35000,99300,92,6.4,1464
Drama,en,46.022,10000,91196.419,101,5.6,708
Drama,en,45.569,13000,329400,108,7.68,13837
Drama,en,45.371,50000,152000,116,7.2,5539
Comedy,en,44.986,30000,287553.595,108,6.2,4340
Comedy,en,44.979,30000,20000,104,6.69,229
Drama,en,44.968,6000,138530.565,120,7.749,4230
Comedy,en,44.764,6000,24849.029,102,7.037,2235
Drama,en,44.56,150000,335802.786,166,7.574,11406
Drama,en,44.507,187,451,76,7.3,114
Drama,en,44.358,5000,23507.567,121,6.1,324
Drama,en,44.144,46000,122126.687,153,8.076,10095
Comedy,en,43.948,30000,191502.426,102,7.033,4024
Drama,en,43.856,28000,201634.991,147,7.773,3432
Comedy,en,43.474,12000,78756.177,86,7.242,3359
Comedy,en,43.04,42000,122801.777,99,6.973,4932
Drama,en,43.028,30000,76669.806,136,7.5,2415
Drama,en,43.026,4749.917,1564.696,97,6.1,122
Drama,en,42.938,32000,10632.378,129,7.295,232
Comedy,en,42.929,15000,14643.997,94,7.2,1550
Drama,en,42.912,40000,45629.909,151,7.712,1827
Comedy,en,42.706,37000,269994.119,110,6.801,7979
Drama,en,42.584,16000,46749.646,93,8,5977
Comedy,en,42.542,7500,60781.545,95,7.266,8967
Drama,en,42.326,25000,46835,145,8.467,11257
Comedy,en,42.314,15000,27500,97,5.488,1774
Comedy,en,42.278,3500,28215.918,91,7.147,1485
Drama,en,42.251,40000,109676.311,130,8.203,13936
Comedy,en,42.033,60000,361366.633,92,5.806,3919
Comedy,en,41.923,1200,80000,91,6.2,954
Comedy,en,41.905,40000,134734.481,113,6.682,3037
Drama,en,41.605,23000,319700,130,8.236,9805
Comedy,en,41.56,30000,174600.318,100,8.051,14118
Drama,en,41.376,40000,216601.214,135,7.905,5431
Drama,en,41.335,2500,6341.684,99,5.3,2735
Drama,en,41.292,30000,159291.809,107,6.8,1737
Comedy,en,41.035,10000,18610.26,85,5.608,1620
Drama,en,40.764,55000,352794.081,114,6.705,9188
Comedy,en,40.585,22000,147880.543,110,6.4,1728
Drama,en,40.489,105000,351040.419,143,7.381,11084
Drama,en,40.47,36000,102244.77,116,7.1,2039
Comedy,en,40.429,15000,216614.388,107,5.974,1920
Comedy,en,39.914,3000,14418.922,95,6.2,336
Comedy,en,39.862,18000,141774.679,96,6.7,3402
Comedy,en,39.836,82000,190320.568,113,6.596,2868
Drama,en,39.62,35000,75981.18,119,6.97,3452
